2.00E+10
1.00E+10;2.00E+10
5.00E+09;1.00E+10;2.00E+10
5.00E+09;1.00E+10;2.00E+10
1.25E+09;5.00E+09;1.00E+10;2.00E+10
6.25E+08;2.50E+09;5.00E+09;1.00E+10;2.00E+10
2.50E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
1.25E+08;6.25E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
5.00E+07;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
2.50E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
1.25E+07;5.00E+07;1.25E+08;2.50E+08;6.25E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
5.00E+06;2.50E+07;5.00E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
2.50E+06;1.25E+07;2.50E+07;5.00E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
1.25E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.25E+08;2.50E+08;6.25E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10;2.00E+10
5.00E+05;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09;1.00E+10
2.50E+05;1.25E+06;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09;5.00E+09
1.25E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.25E+08;2.50E+08;5.00E+08;1.25E+09;2.50E+09
5.00E+04;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.00E+08;2.50E+08;5.00E+08;6.25E+08
2.50E+04;1.25E+05;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.00E+08;2.50E+08;5.00E+08
1.25E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.25E+07;2.50E+07;5.00E+07;1.00E+08;2.50E+08
5.00E+03;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.00E+07;2.50E+07;5.00E+07;1.00E+08
2.50E+03;1.25E+04;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.00E+07;2.50E+07;5.00E+07
1.25E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.25E+06;2.50E+06;5.00E+06;1.00E+07;2.50E+07
5.00E+02;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.00E+06;2.00E+06;5.00E+06;7.81E+06
2.50E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.00E+06;2.00E+06;3.91E+06
1.25E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.25E+05;2.50E+05;5.00E+05;1.00E+06;2.00E+06
5.00E+01;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.00E+05;2.00E+05;4.00E+05;7.81E+05
2.50E+01;1.25E+02;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.00E+05;2.00E+05;4.00E+05
1.25E+01;5.00E+01;1.25E+02;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.50E+04;5.00E+04;1.00E+05;2.00E+05
5.00E+00;2.50E+01;5.00E+01;1.25E+02;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.25E+04;2.00E+04;4.00E+04;8.00E+04
2.50E+00;1.25E+01;2.50E+01;5.00E+01;1.25E+02;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.00E+04;2.00E+04;4.00E+04
1.25E+00;5.00E+00;1.25E+01;2.50E+01;5.00E+01;1.25E+02;2.50E+02;5.00E+02;1.25E+03;2.50E+03;5.00E+03;1.00E+04;2.00E+04
